"Valimissündmus";"Jaoskonna number";"KOV või linnaosa";"Valimisringkond";"Jaoskonnas saavad hääletada ka teise ringkonda kuuluvad valijad";"Jaoskond korraldab kodus hääletamist";"Ära näita jaoskonda kaardirakendusel";"Jaoskonna telefoninumber";"E-posti aadress";"Valimiskasti koju tellimise telefoninumber";"Asukoha nimetus";"address";"Ligipääsetavus on olemas";"Info ligipääsetavuse kohta";"Valimispäev või eelhääletamine";"Kellaajad";"Valimispäev või eelhääletamise päev"
"RK_2023";"6";"Haabersti linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"true";"true";"false";"0037258887006";"Haabersti.elukoht@tallinnlv.ee";"003726404815";"Rocca al Mare Kaubanduskeskus";"Paldiski mnt 102, Haabersti linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga. Parkla, sh invaparkimiskoht asub maja ees ja katuseparklas.";"V";"09:00 - 20:00";"2023-03-05 - 2023-03-05"
"RK_2023";"6";"Haabersti linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"true";"true";"false";"0037258887006";"Haabersti.elukoht@tallinnlv.ee";"003726404815";"Rocca al Mare Kaubanduskeskus";"Paldiski mnt 102, Haabersti linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga. Parkla, sh invaparkimiskoht asub maja ees ja katuseparklas.";"E";"12:00 - 20:00";"2023-02-27 - 2023-03-04"
"RK_2023";"7";"Haabersti linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"true";"false";"false";"0037258887007";"Haabersti.elukoht@tallinnlv.ee";"003726404815";"Haabersti Maxima XXX";"Ehitajate tee 148, Haabersti linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga., Parkla, sh invaparkimiskoht asub maja kõrval.";"E";"12:00 - 20:00";"2023-02-27 - 2023-03-04"
"RK_2023";"7";"Haabersti linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"true";"false";"false";"0037258887007";"Haabersti.elukoht@tallinnlv.ee";"003726404815";"Haabersti Maxima XXX";"Ehitajate tee 148, Haabersti linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga., Parkla, sh invaparkimiskoht asub maja kõrval.";"V";"09:00 - 20:00";"2023-03-05 - 2023-03-05"
"RK_2023";"18";"Kristiine linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"true";"false";"false";"0037258887018";"Kristiine.elukoht@tallinnlv.ee";"003726457127";"Kristiine Keskus";"Endla tn 45, Kristiine linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga., Erilahendused pimedale ja vaegnägijale – juhtnuppude reljeefsus või punktkiri., Parkimine, sh invaparkimiskoht maja taga Tulika tn poolses parklas.";"E";"12:00 - 20:00";"2023-02-27 - 2023-03-04"
"RK_2023";"18";"Kristiine linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"true";"false";"false";"0037258887018";"Kristiine.elukoht@tallinnlv.ee";"003726457127";"Kristiine Keskus";"Endla tn 45, Kristiine linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga., Erilahendused pimedale ja vaegnägijale – juhtnuppude reljeefsus või punktkiri., Parkimine, sh invaparkimiskoht maja taga Tulika tn poolses parklas.";"V";"09:00 - 20:00";"2023-03-05 - 2023-03-05"
"RK_2023";"19";"Kristiine linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"true";"false";"0037258887019";"Kristiine.elukoht@tallinnlv.ee";"003726457127";"Kristiine Linnaosa Valitsuse hoone";"Metalli tn 5, Kristiine linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga. Erilahendused pimedale ja vaegnägijale – juhtnuppude reljeefsus või punktkiri., Parkimine, sh invaparkimiskoht maja kõrval.";"E";"12:00 - 20:00";"2023-03-03 - 2023-03-04"
"RK_2023";"19";"Kristiine linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"true";"false";"0037258887019";"Kristiine.elukoht@tallinnlv.ee";"003726457127";"Kristiine Linnaosa Valitsuse hoone";"Metalli tn 5, Kristiine linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga. Erilahendused pimedale ja vaegnägijale – juhtnuppude reljeefsus või punktkiri., Parkimine, sh invaparkimiskoht maja kõrval.";"V";"09:00 - 20:00";"2023-03-05 - 2023-03-05"
"RK_2023";"20";"Kristiine linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"false";"false";"0037258887020";"Kristiine.elukoht@tallinnlv.ee";"003726457127";"Tallinna Lilleküla Gümnaasium";"Kuldnoka tn 24, Kristiine linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga. Sissepääsu juures on järsk tõus. Olemas kaldtee. Palun helistage jaoskonna telefoninumbril, Teid abistatakse. Parkla asub maja hoovis.";"V";"09:00 - 20:00";"2023-03-05 - 2023-03-05"
"RK_2023";"20";"Kristiine linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"false";"false";"0037258887020";"Kristiine.elukoht@tallinnlv.ee";"003726457127";"Tallinna Lilleküla Gümnaasium";"Kuldnoka tn 24, Kristiine linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga. Sissepääsu juures on järsk tõus. Olemas kaldtee. Palun helistage jaoskonna telefoninumbril, Teid abistatakse. Parkla asub maja hoovis.";"E";"12:00 - 20:00";"2023-03-03 - 2023-03-04"
"RK_2023";"21";"Kristiine linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"true";"false";"false";"0037258887021";"Kristiine.elukoht@tallinnlv.ee";"003726457127";"kauplus Rimi";"Sõpruse pst 174, Kristiine linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga., Parkla, sh invaparkimiskoht asub maja kõrval.";"E";"12:00 - 20:00";"2023-02-27 - 2023-03-04"
"RK_2023";"21";"Kristiine linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"true";"false";"false";"0037258887021";"Kristiine.elukoht@tallinnlv.ee";"003726457127";"kauplus Rimi";"Sõpruse pst 174, Kristiine linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga., Parkla, sh invaparkimiskoht asub maja kõrval.";"V";"09:00 - 20:00";"2023-03-05 - 2023-03-05"
"RK_2023";"22";"Kristiine linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"true";"false";"0037258887022";"Kristiine.elukoht@tallinnlv.ee";"003726457127";"Tallinna Kristiine Gümnaasium";"Nõmme tee 32, Kristiine linnaosa, Tallinn, Harju maakond";"false";"";"E";"12:00 - 20:00";"2023-03-03 - 2023-03-04"
"RK_2023";"22";"Kristiine linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"true";"false";"0037258887022";"Kristiine.elukoht@tallinnlv.ee";"003726457127";"Tallinna Kristiine Gümnaasium";"Nõmme tee 32, Kristiine linnaosa, Tallinn, Harju maakond";"false";"";"V";"09:00 - 20:00";"2023-03-05 - 2023-03-05"
"RK_2023";"23";"Kristiine linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"false";"false";"0037258887023";"Kristiine.elukoht@tallinnlv.ee";"003726457127";"Tallinna Ülikooli Räägu õppehoone";"Räägu tn 49, Kristiine linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga.  Alternatiivsissepääs liikumisabivahendiga - lift hoovis., Erilahendused pimedale ja vaegnägijale – kontrastsus., Palun helistage jaoskonna telefoninumbril, Teid abistatakse., Parkla asub maja kõrval.";"E";"12:00 - 20:00";"2023-03-03 - 2023-03-04"
"RK_2023";"23";"Kristiine linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"false";"false";"0037258887023";"Kristiine.elukoht@tallinnlv.ee";"003726457127";"Tallinna Ülikooli Räägu õppehoone";"Räägu tn 49, Kristiine linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga.  Alternatiivsissepääs liikumisabivahendiga - lift hoovis., Erilahendused pimedale ja vaegnägijale – kontrastsus., Palun helistage jaoskonna telefoninumbril, Teid abistatakse., Parkla asub maja kõrval.,";"V";"09:00 - 20:00";"2023-03-05 - 2023-03-05"
"RK_2023";"24";"Kristiine linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"false";"false";"0037258887024";"Kristiine.elukoht@tallinnlv.ee";"003726457127";"FORUS Spordikeskus Tondi";"Sõjakooli tn 10, Kristiine linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga. Alternatiivsissepääs liikumisabivahendiga. Erilahendused pimedale ja vaegnägijale – kontrastsus. Palun helistage jaoskonna telefoninumbril, Teid abistatakse. Parkla, sh invaparkimiskoht asub maja kõrval.";"E";"12:00 - 20:00";"2023-03-03 - 2023-03-04"
"RK_2023";"24";"Kristiine linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"false";"false";"0037258887024";"Kristiine.elukoht@tallinnlv.ee";"003726457127";"FORUS Spordikeskus Tondi";"Sõjakooli tn 10, Kristiine linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga. Alternatiivsissepääs liikumisabivahendiga. Erilahendused pimedale ja vaegnägijale – kontrastsus., Palun helistage jaoskonna telefoninumbril, Teid abistatakse. Parkla, sh invaparkimiskoht asub maja kõrval.";"V";"09:00 - 20:00";"2023-03-05 - 2023-03-05"
"RK_2023";"71";"Põhja-Tallinna linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"false";"false";"0037258887071";"Pohja.elukoht@tallinnlv.ee";"003726457057";"Tallinna Kunstigümnaasium";"Kopli tn 102a, Põhja-Tallinna linnaosa, Tallinn, Harju maakond";"false";"";"E";"12:00 - 20:00";"2023-03-03 - 2023-03-04"
"RK_2023";"71";"Põhja-Tallinna linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"false";"false";"0037258887071";"Pohja.elukoht@tallinnlv.ee";"003726457057";"Tallinna Kunstigümnaasium";"Kopli tn 102a, Põhja-Tallinna linnaosa, Tallinn, Harju maakond";"false";"";"V";"09:00 - 20:00";"2023-03-05 - 2023-03-05"
"RK_2023";"72";"Põhja-Tallinna linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"false";"false";"0037258887072";"Pohja.elukoht@tallinnlv.ee";"003726457057";"Põhja-Tallinna Noortekeskus";"Kopli tn 98, Põhja-Tallinna linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga. Parkimine tänaval.";"E";"12:00 - 20:00";"2023-03-03 - 2023-03-04"
"RK_2023";"72";"Põhja-Tallinna linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"false";"false";"0037258887072";"Pohja.elukoht@tallinnlv.ee";"003726457057";"Põhja-Tallinna Noortekeskus";"Kopli tn 98, Põhja-Tallinna linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga., Parkimine tänaval.";"V";"09:00 - 20:00";"2023-03-05 - 2023-03-05"
"RK_2023";"73";"Põhja-Tallinna linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"true";"false";"false";"0037258887073";"Pohja.elukoht@tallinnlv.ee";"003726457057";"Stroomi Keskus";"Tuulemaa tn 20, Põhja-Tallinna linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga. Parkla, sh invaparkimiskoht asub maja kõrval.";"E";"12:00 - 20:00";"2023-02-27 - 2023-03-04"
"RK_2023";"73";"Põhja-Tallinna linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"true";"false";"false";"0037258887073";"Pohja.elukoht@tallinnlv.ee";"003726457057";"Stroomi Keskus";"Tuulemaa tn 20, Põhja-Tallinna linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga. Parkla, sh invaparkimiskoht asub maja kõrval.";"V";"09:00 - 20:00";"2023-03-05 - 2023-03-05"
"RK_2023";"74";"Põhja-Tallinna linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"true";"false";"0037258887074";"Pohja.elukoht@tallinnlv.ee";"003726457057";"Karjamaa Põhikool";"Karjamaa tn 1, Põhja-Tallinna linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga. Kaldtee. Parkimine tänaval.";"E";"12:00 - 20:00";"2023-03-03 - 2023-03-04"
"RK_2023";"74";"Põhja-Tallinna linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"true";"false";"0037258887074";"Pohja.elukoht@tallinnlv.ee";"003726457057";"Karjamaa Põhikool";"Karjamaa tn 1, Põhja-Tallinna linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga. Kaldtee. Parkimine tänaval.,";"V";"09:00 - 20:00";"2023-03-05 - 2023-03-05"
"RK_2023";"75";"Põhja-Tallinna linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"false";"false";"0037258887075";"Pohja.elukoht@tallinnlv.ee";"003726457057";"Tallinna Salme Kultuurikeskus";"Salme tn 12, Põhja-Tallinna linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga. Alternatiivsissepääs liikumisabivahendiga - kõrvaluks. Palun helistage jaoskonna telefoninumbril, Teid abistatakse. Pääs I-le korrusele Vimec tõstukiga (pealesõiduplatvormi mõõdud 80x105 cm, sobib el.ratastoolile). Parkla asub maja kõrval.";"E";"12:00 - 20:00";"2023-03-03 - 2023-03-04"
"RK_2023";"75";"Põhja-Tallinna linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"false";"false";"0037258887075";"Pohja.elukoht@tallinnlv.ee";"003726457057";"Tallinna Salme Kultuurikeskus";"Salme tn 12, Põhja-Tallinna linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga. Alternatiivsissepääs liikumisabivahendiga - kõrvaluks. Palun helistage jaoskonna telefoninumbril, Teid abistatakse. Pääs I-le korrusele Vimec tõstukiga (pealesõiduplatvormi mõõdud 80x105 cm, sobib el.ratastoolile). Parkla asub maja kõrval.";"V";"09:00 - 20:00";"2023-03-05 - 2023-03-05"
"RK_2023";"76";"Põhja-Tallinna linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"true";"false";"0037258887076";"Pohja.elukoht@tallinnlv.ee";"003726457057";"Ehte Humanitaargümnaasium";"Ehte tn 9, Põhja-Tallinna linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga. Invalift, trepitõstuk. Palun helistage jaoskonna telefoninumbril, Teid abistatakse. Parkla asub maja kõrval.";"E";"12:00 - 20:00";"2023-03-03 - 2023-03-04"
"RK_2023";"76";"Põhja-Tallinna linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"true";"false";"0037258887076";"Pohja.elukoht@tallinnlv.ee";"003726457057";"Ehte Humanitaargümnaasium";"Ehte tn 9, Põhja-Tallinna linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga. Invalift, trepitõstuk. Palun helistage jaoskonna telefoninumbril, Teid abistatakse. Parkla asub maja kõrval.";"V";"09:00 - 20:00";"2023-03-05 - 2023-03-05"
"RK_2023";"77";"Põhja-Tallinna linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"false";"false";"0037258887077";"Pohja.elukoht@tallinnlv.ee";"003726457057";"Kool 21. Sajandil";"Sõle tn 40, Põhja-Tallinna linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga. Teisaldatavad relsid. Järsk trepp.  Palun helistage jaoskonna telefoninumbril, Teid abistatakse. Parkla asub maja kõrval.";"E";"12:00 - 20:00";"2023-03-03 - 2023-03-04"
"RK_2023";"77";"Põhja-Tallinna linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"false";"false";"0037258887077";"Pohja.elukoht@tallinnlv.ee";"003726457057";"Kool 21. Sajandil";"Sõle tn 40, Põhja-Tallinna linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga. Teisaldatavad relsid. Järsk trepp. Palun helistage jaoskonna telefoninumbril, Teid abistatakse. Parkla asub maja kõrval.";"V";"09:00 - 20:00";"2023-03-05 - 2023-03-05"
"RK_2023";"78";"Põhja-Tallinna linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"false";"false";"0037258887078";"Pohja.elukoht@tallinnlv.ee";"003726457057";"Ristiku Põhikool";"Ristiku tn 69, Põhja-Tallinna linnaosa, Tallinn, Harju maakond";"false";"";"E";"12:00 - 20:00";"2023-03-03 - 2023-03-04"
"RK_2023";"78";"Põhja-Tallinna linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"false";"false";"0037258887078";"Pohja.elukoht@tallinnlv.ee";"003726457057";"Ristiku Põhikool";"Ristiku tn 69, Põhja-Tallinna linnaosa, Tallinn, Harju maakond";"false";"";"V";"09:00 - 20:00";"2023-03-05 - 2023-03-05"
"RK_2023";"79";"Põhja-Tallinna linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"false";"false";"0037258887079";"Pohja.elukoht@tallinnlv.ee";"003726457057";"Tallinna Euroopa Kool";"Tehnika tn 18, Põhja-Tallinna linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga. Invaparkimiskoht B-korpuse sissepääsu juures. Parkimine tänaval.";"E";"12:00 - 20:00";"2023-03-03 - 2023-03-04"
"RK_2023";"79";"Põhja-Tallinna linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"false";"false";"0037258887079";"Pohja.elukoht@tallinnlv.ee";"003726457057";"Tallinna Euroopa Kool";"Tehnika tn 18, Põhja-Tallinna linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga. Invaparkimiskoht B-korpuse sissepääsu juures. Parkimine tänaval.";"V";"09:00 - 20:00";"2023-03-05 - 2023-03-05"
"RK_2023";"80";"Põhja-Tallinna linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"true";"false";"0037258887080";"Pohja.elukoht@tallinnlv.ee";"003726457057";"Pelgulinna Gümnaasium";"Mulla tn 7, Põhja-Tallinna linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga. Parkla asub maja kõrval.";"V";"09:00 - 20:00";"2023-03-05 - 2023-03-05"
"RK_2023";"80";"Põhja-Tallinna linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"false";"true";"false";"0037258887080";"Pohja.elukoht@tallinnlv.ee";"003726457057";"Pelgulinna Gümnaasium";"Mulla tn 7, Põhja-Tallinna linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga. Parkla asub maja kõrval.";"E";"12:00 - 20:00";"2023-03-03 - 2023-03-04"
"RK_2023";"81";"Põhja-Tallinna linnaosa";"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa";"true";"false";"false";"0037258887081";"Pohja.elukoht@tallinnlv.ee";"003726457057";"Põhja-Tallinna Valitsuse hooviala";"Kari tn 13, Põhja-Tallinna linnaosa, Tallinn, Harju maakond";"true";"Sissepääs võimalik ratastooli ja lapsevankriga. Parkla asub maja kõrval.";"E";"12:00 - 20:00";"2023-02-27 - 2023-03-04"
